model,technique,family,total,matches,errors,minutes,cost,accuracy
Aya Expanse 32b,Prompt,Other,1800,622,58,72.19,,34.6
Aya Expanse 32b,Proximity,Other,1800,320,0,44.17,,17.8
Aya Expanse 8b,Prompt,Other,1800,482,32,17.41,,26.8
Aya Expanse 8b,Proximity,Other,1800,247,0,11.02,,13.7
BGE-Large,Proximity,Bert,1800,314,84,1.81,,17.4
BGE-M3,Proximity,Bert,1800,382,0,2.00,,21.2
ChatGPT 4 Turbo,Prompt,GPT,1800,711,121,20.97,10.78,39.5
ChatGPT 4o,Prompt,GPT,1800,810,0,11.30,2.67,45.0
ChatGPT 4o Mini,Prompt,GPT,1800,850,0,15.41,0.59,47.2
Claude 3 Haiku,Prompt,Claude,1800,431,5,34.88,0.86,23.9
Claude 3.5 Sonnet,Prompt,Claude,1800,727,2,34.08,4.29,40.4
Deepseek v2 16b,Proximity,Other,1800,277,0,37.85,,15.4
Deepseek v2 16b,Prompt,Other,1800,134,642,41.76,,7.4
FireFunction v2,Prompt,Llama,1800,557,130,99.60,,30.9
FireFunction v2,Proximity,Llama,1800,189,0,80.69,,10.5
Gemini 1.5 Flash,Prompt,Gemini,1800,543,1,9.41,0.08,30.2
Gemini 1.5 Flash 8b,Prompt,Gemini,1800,671,14,8.83,0.03,37.3
Gemma 2b,Proximity,Gemma,1800,406,0,5.87,,22.6
Gemma 2b,Prompt,Gemma,1800,232,558,10.57,,12.9
Gemma 7b,Prompt,Gemma,1800,416,66,19.05,,23.1
Gemma 7b,Proximity,Gemma,1800,297,0,13.35,,16.5
Gemma2 2b,Prompt,Gemma,1800,462,102,13.85,,25.7
Gemma2 2b,Proximity,Gemma,1800,180,0,5.35,,10.0
Gemma2 9b,Prompt,Gemma,1800,637,68,17.13,,35.4
Gemma2 9b,Proximity,Gemma,1800,201,0,12.24,,11.2
Google Text-Embedding,Proximity,Gemini,1800,659,0,5.04,0.06,36.6
GPT Text-Embedding-3 Large,Proximity,GPT,1800,562,0,11.89,0.03,31.2
GPT Text-Embedding-3 Small,Proximity,GPT,1800,685,0,8.42,0.01,38.1
Granite3-Dense 2b,Prompt,Granite,1800,232,965,12.47,,12.9
Granite3-Dense 2b,Proximity,Granite,1800,111,0,5.30,,6.2
Granite3-Dense 8b,Prompt,Granite,1800,409,175,18.78,,22.7
Granite3-Dense 8b,Proximity,Granite,1800,203,0,12.53,,11.3
Granite3-MOE 1b,Proximity,Granite,1800,114,0,13.50,,6.3
Granite3-MOE 1b,Prompt,Granite,1800,27,1690,21.84,,1.5
Granite3-MOE 3b,Prompt,Granite,1800,221,212,33.97,,12.3
Granite3-MOE 3b,Proximity,Granite,1800,119,0,25.51,,6.6
Hermes3 70b,Prompt,Llama,1800,624,5,113.74,,34.7
Hermes3 70b,Proximity,Llama,1800,317,0,92.81,,17.6
Hermes3 8b,Prompt,Llama,1800,582,6,13.84,,32.3
